column_name,data_type,no_of_rows,missing_percent
circle_id,non-null,99999,0.0
loc_og_t2o_mou,non-null,98981,1.0000000000000009
std_og_t2o_mou,non-null,98981,1.0000000000000009
loc_ic_t2o_mou,non-null,98981,1.0000000000000009
last_date_of_month_6,non-null,99999,0.0
last_date_of_month_7,non-null,99398,1.0000000000000009
last_date_of_month_8,non-null,98899,1.0000000000000009
last_date_of_month_9,non-null,98340,2.0000000000000018
arpu_6,non-null,99999,0.0
arpu_7,non-null,99999,0.0
arpu_8,non-null,99999,0.0
arpu_9,non-null,99999,0.0
onnet_mou_6,non-null,96062,4.0000000000000036
onnet_mou_7,non-null,96140,4.0000000000000036
onnet_mou_8,non-null,94621,5.000000000000004
onnet_mou_9,non-null,92254,7.9999999999999964
offnet_mou_6,non-null,96062,4.0000000000000036
offnet_mou_7,non-null,96140,4.0000000000000036
offnet_mou_8,non-null,94621,5.000000000000004
offnet_mou_9,non-null,92254,7.9999999999999964
roam_ic_mou_6,non-null,96062,4.0000000000000036
roam_ic_mou_7,non-null,96140,4.0000000000000036
roam_ic_mou_8,non-null,94621,5.000000000000004
roam_ic_mou_9,non-null,92254,7.9999999999999964
roam_og_mou_6,non-null,96062,4.0000000000000036
roam_og_mou_7,non-null,96140,4.0000000000000036
roam_og_mou_8,non-null,94621,5.000000000000004
roam_og_mou_9,non-null,92254,7.9999999999999964
loc_og_t2t_mou_6,non-null,96062,4.0000000000000036
loc_og_t2t_mou_7,non-null,96140,4.0000000000000036
loc_og_t2t_mou_8,non-null,94621,5.000000000000004
loc_og_t2t_mou_9,non-null,92254,7.9999999999999964
loc_og_t2m_mou_6,non-null,96062,4.0000000000000036
loc_og_t2m_mou_7,non-null,96140,4.0000000000000036
loc_og_t2m_mou_8,non-null,94621,5.000000000000004
loc_og_t2m_mou_9,non-null,92254,7.9999999999999964
loc_og_t2f_mou_6,non-null,96062,4.0000000000000036
loc_og_t2f_mou_7,non-null,96140,4.0000000000000036
loc_og_t2f_mou_8,non-null,94621,5.000000000000004
loc_og_t2f_mou_9,non-null,92254,7.9999999999999964
loc_og_t2c_mou_6,non-null,96062,4.0000000000000036
loc_og_t2c_mou_7,non-null,96140,4.0000000000000036
loc_og_t2c_mou_8,non-null,94621,5.000000000000004
loc_og_t2c_mou_9,non-null,92254,7.9999999999999964
loc_og_mou_6,non-null,96062,4.0000000000000036
loc_og_mou_7,non-null,96140,4.0000000000000036
loc_og_mou_8,non-null,94621,5.000000000000004
loc_og_mou_9,non-null,92254,7.9999999999999964
std_og_t2t_mou_6,non-null,96062,4.0000000000000036
std_og_t2t_mou_7,non-null,96140,4.0000000000000036
std_og_t2t_mou_8,non-null,94621,5.000000000000004
std_og_t2t_mou_9,non-null,92254,7.9999999999999964
std_og_t2m_mou_6,non-null,96062,4.0000000000000036
std_og_t2m_mou_7,non-null,96140,4.0000000000000036
std_og_t2m_mou_8,non-null,94621,5.000000000000004
std_og_t2m_mou_9,non-null,92254,7.9999999999999964
std_og_t2f_mou_6,non-null,96062,4.0000000000000036
std_og_t2f_mou_7,non-null,96140,4.0000000000000036
std_og_t2f_mou_8,non-null,94621,5.000000000000004
std_og_t2f_mou_9,non-null,92254,7.9999999999999964
std_og_t2c_mou_6,non-null,96062,4.0000000000000036
std_og_t2c_mou_7,non-null,96140,4.0000000000000036
std_og_t2c_mou_8,non-null,94621,5.000000000000004
std_og_t2c_mou_9,non-null,92254,7.9999999999999964
std_og_mou_6,non-null,96062,4.0000000000000036
std_og_mou_7,non-null,96140,4.0000000000000036
std_og_mou_8,non-null,94621,5.000000000000004
std_og_mou_9,non-null,92254,7.9999999999999964
isd_og_mou_6,non-null,96062,4.0000000000000036
isd_og_mou_7,non-null,96140,4.0000000000000036
isd_og_mou_8,non-null,94621,5.000000000000004
isd_og_mou_9,non-null,92254,7.9999999999999964
spl_og_mou_6,non-null,96062,4.0000000000000036
spl_og_mou_7,non-null,96140,4.0000000000000036
spl_og_mou_8,non-null,94621,5.000000000000004
spl_og_mou_9,non-null,92254,7.9999999999999964
og_others_6,non-null,96062,4.0000000000000036
og_others_7,non-null,96140,4.0000000000000036
og_others_8,non-null,94621,5.000000000000004
og_others_9,non-null,92254,7.9999999999999964
total_og_mou_6,non-null,99999,0.0
total_og_mou_7,non-null,99999,0.0
total_og_mou_8,non-null,99999,0.0
total_og_mou_9,non-null,99999,0.0
loc_ic_t2t_mou_6,non-null,96062,4.0000000000000036
loc_ic_t2t_mou_7,non-null,96140,4.0000000000000036
loc_ic_t2t_mou_8,non-null,94621,5.000000000000004
loc_ic_t2t_mou_9,non-null,92254,7.9999999999999964
loc_ic_t2m_mou_6,non-null,96062,4.0000000000000036
loc_ic_t2m_mou_7,non-null,96140,4.0000000000000036
loc_ic_t2m_mou_8,non-null,94621,5.000000000000004
loc_ic_t2m_mou_9,non-null,92254,7.9999999999999964
loc_ic_t2f_mou_6,non-null,96062,4.0000000000000036
loc_ic_t2f_mou_7,non-null,96140,4.0000000000000036
loc_ic_t2f_mou_8,non-null,94621,5.000000000000004
loc_ic_t2f_mou_9,non-null,92254,7.9999999999999964
loc_ic_mou_6,non-null,96062,4.0000000000000036
loc_ic_mou_7,non-null,96140,4.0000000000000036
loc_ic_mou_8,non-null,94621,5.000000000000004
loc_ic_mou_9,non-null,92254,7.9999999999999964
std_ic_t2t_mou_6,non-null,96062,4.0000000000000036
std_ic_t2t_mou_7,non-null,96140,4.0000000000000036
std_ic_t2t_mou_8,non-null,94621,5.000000000000004
std_ic_t2t_mou_9,non-null,92254,7.9999999999999964
std_ic_t2m_mou_6,non-null,96062,4.0000000000000036
std_ic_t2m_mou_7,non-null,96140,4.0000000000000036
std_ic_t2m_mou_8,non-null,94621,5.000000000000004
std_ic_t2m_mou_9,non-null,92254,7.9999999999999964
std_ic_t2f_mou_6,non-null,96062,4.0000000000000036
std_ic_t2f_mou_7,non-null,96140,4.0000000000000036
std_ic_t2f_mou_8,non-null,94621,5.000000000000004
std_ic_t2f_mou_9,non-null,92254,7.9999999999999964
std_ic_t2o_mou_6,non-null,96062,4.0000000000000036
std_ic_t2o_mou_7,non-null,96140,4.0000000000000036
std_ic_t2o_mou_8,non-null,94621,5.000000000000004
std_ic_t2o_mou_9,non-null,92254,7.9999999999999964
std_ic_mou_6,non-null,96062,4.0000000000000036
std_ic_mou_7,non-null,96140,4.0000000000000036
std_ic_mou_8,non-null,94621,5.000000000000004
std_ic_mou_9,non-null,92254,7.9999999999999964
total_ic_mou_6,non-null,99999,0.0
total_ic_mou_7,non-null,99999,0.0
total_ic_mou_8,non-null,99999,0.0
total_ic_mou_9,non-null,99999,0.0
spl_ic_mou_6,non-null,96062,4.0000000000000036
spl_ic_mou_7,non-null,96140,4.0000000000000036
spl_ic_mou_8,non-null,94621,5.000000000000004
spl_ic_mou_9,non-null,92254,7.9999999999999964
isd_ic_mou_6,non-null,96062,4.0000000000000036
isd_ic_mou_7,non-null,96140,4.0000000000000036
isd_ic_mou_8,non-null,94621,5.000000000000004
isd_ic_mou_9,non-null,92254,7.9999999999999964
ic_others_6,non-null,96062,4.0000000000000036
ic_others_7,non-null,96140,4.0000000000000036
ic_others_8,non-null,94621,5.000000000000004
ic_others_9,non-null,92254,7.9999999999999964
total_rech_num_6,non-null,99999,0.0
total_rech_num_7,non-null,99999,0.0
total_rech_num_8,non-null,99999,0.0
total_rech_num_9,non-null,99999,0.0
total_rech_amt_6,non-null,99999,0.0
total_rech_amt_7,non-null,99999,0.0
total_rech_amt_8,non-null,99999,0.0
total_rech_amt_9,non-null,99999,0.0
max_rech_amt_6,non-null,99999,0.0
max_rech_amt_7,non-null,99999,0.0
max_rech_amt_8,non-null,99999,0.0
max_rech_amt_9,non-null,99999,0.0
date_of_last_rech_6,non-null,98392,2.0000000000000018
date_of_last_rech_7,non-null,98232,2.0000000000000018
date_of_last_rech_8,non-null,96377,4.0000000000000036
date_of_last_rech_9,non-null,95239,5.000000000000004
last_day_rch_amt_6,non-null,99999,0.0
last_day_rch_amt_7,non-null,99999,0.0
last_day_rch_amt_8,non-null,99999,0.0
last_day_rch_amt_9,non-null,99999,0.0
date_of_last_rech_data_6,non-null,25153,75.0
date_of_last_rech_data_7,non-null,25571,74.0
date_of_last_rech_data_8,non-null,26339,74.0
date_of_last_rech_data_9,non-null,25922,74.0
total_rech_data_6,non-null,25153,75.0
total_rech_data_7,non-null,25571,74.0
total_rech_data_8,non-null,26339,74.0
total_rech_data_9,non-null,25922,74.0
max_rech_data_6,non-null,25153,75.0
max_rech_data_7,non-null,25571,74.0
max_rech_data_8,non-null,26339,74.0
max_rech_data_9,non-null,25922,74.0
count_rech_2g_6,non-null,25153,75.0
count_rech_2g_7,non-null,25571,74.0
count_rech_2g_8,non-null,26339,74.0
count_rech_2g_9,non-null,25922,74.0
count_rech_3g_6,non-null,25153,75.0
count_rech_3g_7,non-null,25571,74.0
count_rech_3g_8,non-null,26339,74.0
count_rech_3g_9,non-null,25922,74.0
av_rech_amt_data_6,non-null,25153,75.0
av_rech_amt_data_7,non-null,25571,74.0
av_rech_amt_data_8,non-null,26339,74.0
av_rech_amt_data_9,non-null,25922,74.0
vol_2g_mb_6,non-null,99999,0.0
vol_2g_mb_7,non-null,99999,0.0
vol_2g_mb_8,non-null,99999,0.0
vol_2g_mb_9,non-null,99999,0.0
vol_3g_mb_6,non-null,99999,0.0
vol_3g_mb_7,non-null,99999,0.0
vol_3g_mb_8,non-null,99999,0.0
vol_3g_mb_9,non-null,99999,0.0
arpu_3g_6,non-null,25153,75.0
arpu_3g_7,non-null,25571,74.0
arpu_3g_8,non-null,26339,74.0
arpu_3g_9,non-null,25922,74.0
arpu_2g_6,non-null,25153,75.0
arpu_2g_7,non-null,25571,74.0
arpu_2g_8,non-null,26339,74.0
arpu_2g_9,non-null,25922,74.0
night_pck_user_6,non-null,25153,75.0
night_pck_user_7,non-null,25571,74.0
night_pck_user_8,non-null,26339,74.0
night_pck_user_9,non-null,25922,74.0
monthly_2g_6,non-null,99999,0.0
monthly_2g_7,non-null,99999,0.0
monthly_2g_8,non-null,99999,0.0
monthly_2g_9,non-null,99999,0.0
sachet_2g_6,non-null,99999,0.0
sachet_2g_7,non-null,99999,0.0
sachet_2g_8,non-null,99999,0.0
sachet_2g_9,non-null,99999,0.0
monthly_3g_6,non-null,99999,0.0
monthly_3g_7,non-null,99999,0.0
monthly_3g_8,non-null,99999,0.0
monthly_3g_9,non-null,99999,0.0
sachet_3g_6,non-null,99999,0.0
sachet_3g_7,non-null,99999,0.0
sachet_3g_8,non-null,99999,0.0
sachet_3g_9,non-null,99999,0.0
fb_user_6,non-null,25153,75.0
fb_user_7,non-null,25571,74.0
fb_user_8,non-null,26339,74.0
fb_user_9,non-null,25922,74.0
aon,non-null,99999,0.0
aug_vbc_3g,non-null,99999,0.0
jul_vbc_3g,non-null,99999,0.0
jun_vbc_3g,non-null,99999,0.0
sep_vbc_3g,non-null,99999,0.0
