column_name,data_type,no_of_rows,missing_percent
last_date_of_month_8,object,29953,0.0
last_date_of_month_9,object,29953,0.0
arpu_6,float64,29953,0.0
arpu_7,float64,29953,0.0
arpu_8,float64,29953,0.0
arpu_9,float64,29953,0.0
onnet_mou_6,float64,29953,0.0
onnet_mou_7,float64,29953,0.0
onnet_mou_8,float64,29953,0.0
onnet_mou_9,float64,29953,0.0
offnet_mou_6,float64,29953,0.0
offnet_mou_7,float64,29953,0.0
offnet_mou_8,float64,29953,0.0
offnet_mou_9,float64,29953,0.0
roam_ic_mou_6,float64,29953,0.0
roam_ic_mou_7,float64,29953,0.0
roam_ic_mou_8,float64,29953,0.0
roam_ic_mou_9,float64,29953,0.0
roam_og_mou_6,float64,29953,0.0
roam_og_mou_7,float64,29953,0.0
roam_og_mou_8,float64,29953,0.0
roam_og_mou_9,float64,29953,0.0
loc_og_t2t_mou_6,float64,29953,0.0
loc_og_t2t_mou_7,float64,29953,0.0
loc_og_t2t_mou_8,float64,29953,0.0
loc_og_t2t_mou_9,float64,29953,0.0
loc_og_t2m_mou_6,float64,29953,0.0
loc_og_t2m_mou_7,float64,29953,0.0
loc_og_t2m_mou_8,float64,29953,0.0
loc_og_t2m_mou_9,float64,29953,0.0
loc_og_t2f_mou_6,float64,29953,0.0
loc_og_t2f_mou_7,float64,29953,0.0
loc_og_t2f_mou_8,float64,29953,0.0
loc_og_t2f_mou_9,float64,29953,0.0
loc_og_t2c_mou_6,float64,29953,0.0
loc_og_t2c_mou_7,float64,29953,0.0
loc_og_t2c_mou_8,float64,29953,0.0
loc_og_t2c_mou_9,float64,29953,0.0
loc_og_mou_6,float64,29953,0.0
loc_og_mou_7,float64,29953,0.0
loc_og_mou_8,float64,29953,0.0
loc_og_mou_9,float64,29953,0.0
std_og_t2t_mou_6,float64,29953,0.0
std_og_t2t_mou_7,float64,29953,0.0
std_og_t2t_mou_8,float64,29953,0.0
std_og_t2t_mou_9,float64,29953,0.0
std_og_t2m_mou_6,float64,29953,0.0
std_og_t2m_mou_7,float64,29953,0.0
std_og_t2m_mou_8,float64,29953,0.0
std_og_t2m_mou_9,float64,29953,0.0
std_og_t2f_mou_6,float64,29953,0.0
std_og_t2f_mou_7,float64,29953,0.0
std_og_t2f_mou_8,float64,29953,0.0
std_og_t2f_mou_9,float64,29953,0.0
std_og_mou_6,float64,29953,0.0
std_og_mou_7,float64,29953,0.0
std_og_mou_8,float64,29953,0.0
std_og_mou_9,float64,29953,0.0
isd_og_mou_6,float64,29953,0.0
isd_og_mou_7,float64,29953,0.0
isd_og_mou_8,float64,29953,0.0
isd_og_mou_9,float64,29953,0.0
spl_og_mou_6,float64,29953,0.0
spl_og_mou_7,float64,29953,0.0
spl_og_mou_8,float64,29953,0.0
spl_og_mou_9,float64,29953,0.0
og_others_6,float64,29953,0.0
og_others_7,float64,29953,0.0
og_others_8,float64,29953,0.0
og_others_9,float64,29953,0.0
total_og_mou_6,float64,29953,0.0
total_og_mou_7,float64,29953,0.0
total_og_mou_8,float64,29953,0.0
total_og_mou_9,float64,29953,0.0
loc_ic_t2t_mou_6,float64,29953,0.0
loc_ic_t2t_mou_7,float64,29953,0.0
