variable_name,data_format,null_object_type,no_of_rows,missing_percent,Description
id,int64,non-null,39717,0.0,A unique LC assigned ID for the loan listing.
member_id,int64,non-null,39717,0.0,A unique LC assigned Id for the borrower member.
loan_amnt,int64,non-null,39717,0.0,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
funded_amnt,int64,non-null,39717,0.0,The total amount committed to that loan at that point in time.
funded_amnt_inv,float64,non-null,39717,0.0,The total amount committed by investors for that loan at that point in time.
term,object,non-null,39717,0.0,The number of payments on the loan. Values are in months and can be either 36 or 60.
int_rate,object,non-null,39717,0.0,Interest Rate on the loan
installment,float64,non-null,39717,0.0,The monthly payment owed by the borrower if the loan originates.
grade,object,non-null,39717,0.0,LC assigned loan grade
sub_grade,object,non-null,39717,0.0,LC assigned loan subgrade
emp_title,object,non-null,37258,6.000000000000004,The job title supplied by the Borrower when applying for the loan.*
emp_length,object,non-null,38642,3.0000000000000027,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
home_ownership,object,non-null,39717,0.0,"The home ownership status provided by the borrower during registration. Our values are: RENT, OWN, MORTGAGE, OTHER."
annual_inc,float64,non-null,39717,0.0,The self-reported annual income provided by the borrower during registration.
verification_status,object,non-null,39717,0.0,"Indicates if income was verified by LC, not verified, or if the income source was verified"
issue_d,object,non-null,39717,0.0,The month which the loan was funded
loan_status,object,non-null,39717,0.0,Current status of the loan
pymnt_plan,object,non-null,39717,0.0,Indicates if a payment plan has been put in place for the loan
url,object,non-null,39717,0.0,URL for the LC page with listing data.
desc,object,non-null,26777,32.99999999999999,Loan description provided by the borrower
purpose,object,non-null,39717,0.0,A category provided by the borrower for the loan request. 
title,object,non-null,39706,0.0,The loan title provided by the borrower
zip_code,object,non-null,39717,0.0,The first 3 numbers of the zip code provided by the borrower in the loan application.
addr_state,object,non-null,39717,0.0,The state provided by the borrower in the loan application
dti,float64,non-null,39717,0.0,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income."
delinq_2yrs,int64,non-null,39717,0.0,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
earliest_cr_line,object,non-null,39717,0.0,The month the borrower's earliest reported credit line was opened
inq_last_6mths,int64,non-null,39717,0.0,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
mths_since_last_delinq,float64,non-null,14035,65.0,The number of months since the borrower's last delinquency.
mths_since_last_record,float64,non-null,2786,93.0,The number of months since the last public record.
open_acc,int64,non-null,39717,0.0,The number of open credit lines in the borrower's credit file.
pub_rec,int64,non-null,39717,0.0,Number of derogatory public records
revol_bal,int64,non-null,39717,0.0,Total credit revolving balance
revol_util,object,non-null,39667,0.0,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
total_acc,int64,non-null,39717,0.0,The total number of credit lines currently in the borrower's credit file
initial_list_status,object,non-null,39717,0.0,"The initial listing status of the loan. Possible values are – W, F"
out_prncp,float64,non-null,39717,0.0,Remaining outstanding principal for total amount funded
out_prncp_inv,float64,non-null,39717,0.0,Remaining outstanding principal for portion of total amount funded by investors
total_pymnt,float64,non-null,39717,0.0,Payments received to date for total amount funded
total_pymnt_inv,float64,non-null,39717,0.0,Payments received to date for portion of total amount funded by investors
total_rec_prncp,float64,non-null,39717,0.0,Principal received to date
total_rec_int,float64,non-null,39717,0.0,Interest received to date
total_rec_late_fee,float64,non-null,39717,0.0,Late fees received to date
recoveries,float64,non-null,39717,0.0,post charge off gross recovery
collection_recovery_fee,float64,non-null,39717,0.0,post charge off collection fee
last_pymnt_d,object,non-null,39646,0.0,Last month payment was received
last_pymnt_amnt,float64,non-null,39717,0.0,Last total payment amount received
next_pymnt_d,object,non-null,1140,97.0,Next scheduled payment date
last_credit_pull_d,object,non-null,39715,0.0,The most recent month LC pulled credit for this loan
collections_12_mths_ex_med,float64,non-null,39661,0.0,Number of collections in 12 months excluding medical collections
mths_since_last_major_derog,float64,non-null,0,100.0,Months since most recent 90-day or worse rating
policy_code,int64,non-null,39717,0.0,"publicly available policy_code=1
new products not publicly available policy_code=2"
application_type,object,non-null,39717,0.0,Indicates whether the loan is an individual application or a joint application with two co-borrowers
annual_inc_joint,float64,non-null,0,100.0,The combined self-reported annual income provided by the co-borrowers during registration
dti_joint,float64,non-null,0,100.0,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income"
verification_status_joint,float64,non-null,0,100.0,
acc_now_delinq,int64,non-null,39717,0.0,The number of accounts on which the borrower is now delinquent.
tot_coll_amt,float64,non-null,0,100.0,Total collection amounts ever owed
tot_cur_bal,float64,non-null,0,100.0,Total current balance of all accounts
open_acc_6m,float64,non-null,0,100.0,Number of open trades in last 6 months
open_il_6m,float64,non-null,0,100.0,Number of currently active installment trades
open_il_12m,float64,non-null,0,100.0,Number of installment accounts opened in past 12 months
open_il_24m,float64,non-null,0,100.0,Number of installment accounts opened in past 24 months
mths_since_rcnt_il,float64,non-null,0,100.0,Months since most recent installment accounts opened
total_bal_il,float64,non-null,0,100.0,Total current balance of all installment accounts
il_util,float64,non-null,0,100.0,Ratio of total current balance to high credit/credit limit on all install acct
open_rv_12m,float64,non-null,0,100.0,Number of revolving trades opened in past 12 months
open_rv_24m,float64,non-null,0,100.0,Number of revolving trades opened in past 24 months
