column_name,data_type,no_of_rows,missing_percent
member_id,non-null,39717,0.0
loan_amnt,non-null,39717,0.0
funded_amnt,non-null,39717,0.0
funded_amnt_inv,non-null,39717,0.0
term,non-null,39717,0.0
int_rate,non-null,39717,0.0
installment,non-null,39717,0.0
grade,non-null,39717,0.0
sub_grade,non-null,39717,0.0
emp_title,non-null,37258,6.000000000000005
emp_length,non-null,38642,3.0000000000000027
home_ownership,non-null,39717,0.0
annual_inc,non-null,39717,0.0
verification_status,non-null,39717,0.0
issue_d,non-null,39717,0.0
loan_status,non-null,39717,0.0
pymnt_plan,non-null,39717,0.0
url,non-null,39717,0.0
desc,non-null,26777,32.99999999999999
purpose,non-null,39717,0.0
title,non-null,39706,0.0
zip_code,non-null,39717,0.0
addr_state,non-null,39717,0.0
dti,non-null,39717,0.0
delinq_2yrs,non-null,39717,0.0
earliest_cr_line,non-null,39717,0.0
inq_last_6mths,non-null,39717,0.0
mths_since_last_delinq,non-null,14035,65.0
mths_since_last_record,non-null,2786,93.0
open_acc,non-null,39717,0.0
pub_rec,non-null,39717,0.0
revol_bal,non-null,39717,0.0
revol_util,non-null,39667,0.0
total_acc,non-null,39717,0.0
initial_list_status,non-null,39717,0.0
out_prncp,non-null,39717,0.0
out_prncp_inv,non-null,39717,0.0
total_pymnt,non-null,39717,0.0
total_pymnt_inv,non-null,39717,0.0
total_rec_prncp,non-null,39717,0.0
total_rec_int,non-null,39717,0.0
total_rec_late_fee,non-null,39717,0.0
recoveries,non-null,39717,0.0
collection_recovery_fee,non-null,39717,0.0
last_pymnt_d,non-null,39646,0.0
last_pymnt_amnt,non-null,39717,0.0
next_pymnt_d,non-null,1140,97.0
last_credit_pull_d,non-null,39715,0.0
collections_12_mths_ex_med,non-null,39661,0.0
mths_since_last_major_derog,non-null,0,100.0
policy_code,non-null,39717,0.0
application_type,non-null,39717,0.0
annual_inc_joint,non-null,0,100.0
dti_joint,non-null,0,100.0
verification_status_joint,non-null,0,100.0
acc_now_delinq,non-null,39717,0.0
tot_coll_amt,non-null,0,100.0
tot_cur_bal,non-null,0,100.0
open_acc_6m,non-null,0,100.0
open_il_6m,non-null,0,100.0
open_il_12m,non-null,0,100.0
open_il_24m,non-null,0,100.0
mths_since_rcnt_il,non-null,0,100.0
total_bal_il,non-null,0,100.0
il_util,non-null,0,100.0
open_rv_12m,non-null,0,100.0
open_rv_24m,non-null,0,100.0
max_bal_bc,non-null,0,100.0
all_util,non-null,0,100.0
total_rev_hi_lim,non-null,0,100.0
inq_fi,non-null,0,100.0
total_cu_tl,non-null,0,100.0
inq_last_12m,non-null,0,100.0
acc_open_past_24mths,non-null,0,100.0
avg_cur_bal,non-null,0,100.0
bc_open_to_buy,non-null,0,100.0
bc_util,non-null,0,100.0
chargeoff_within_12_mths,non-null,39661,0.0
delinq_amnt,non-null,39717,0.0
mo_sin_old_il_acct,non-null,0,100.0
mo_sin_old_rev_tl_op,non-null,0,100.0
mo_sin_rcnt_rev_tl_op,non-null,0,100.0
mo_sin_rcnt_tl,non-null,0,100.0
mort_acc,non-null,0,100.0
mths_since_recent_bc,non-null,0,100.0
mths_since_recent_bc_dlq,non-null,0,100.0
mths_since_recent_inq,non-null,0,100.0
mths_since_recent_revol_delinq,non-null,0,100.0
num_accts_ever_120_pd,non-null,0,100.0
num_actv_bc_tl,non-null,0,100.0
num_actv_rev_tl,non-null,0,100.0
num_bc_sats,non-null,0,100.0
num_bc_tl,non-null,0,100.0
num_il_tl,non-null,0,100.0
num_op_rev_tl,non-null,0,100.0
num_rev_accts,non-null,0,100.0
num_rev_tl_bal_gt_0,non-null,0,100.0
num_sats,non-null,0,100.0
num_tl_120dpd_2m,non-null,0,100.0
num_tl_30dpd,non-null,0,100.0
num_tl_90g_dpd_24m,non-null,0,100.0
num_tl_op_past_12m,non-null,0,100.0
pct_tl_nvr_dlq,non-null,0,100.0
percent_bc_gt_75,non-null,0,100.0
pub_rec_bankruptcies,non-null,39020,2.0000000000000018
tax_liens,non-null,39678,0.0
tot_hi_cred_lim,non-null,0,100.0
total_bal_ex_mort,non-null,0,100.0
total_bc_limit,non-null,0,100.0
total_il_high_credit_limit,non-null,0,100.0
